Project	Case_ID	Sample_Type	Raw_Count	Filtered_Count
TCGA-BRCA	20e8106b-1290-4735-abe4-7621e08e3dc8	Primary Tumor	271	17
TCGA-BRCA	20e8106b-1290-4735-abe4-7621e08e3dc8	Solid Tissue Normal	359	56
TCGA-BRCA	2192c1db-4718-4254-ba42-3ae7f30ad5a8	Blood Derived Normal	261	21
TCGA-BRCA	2192c1db-4718-4254-ba42-3ae7f30ad5a8	Primary Tumor	323	31
TCGA-BRCA	22eaba28-be67-4730-9846-860bc1fca29a	Blood Derived Normal	157	7
TCGA-BRCA	22eaba28-be67-4730-9846-860bc1fca29a	Primary Tumor	155	21
TCGA-BRCA	2399caeb-ead2-4003-af38-809db4ac2e2b	Blood Derived Normal	374	32
TCGA-BRCA	2399caeb-ead2-4003-af38-809db4ac2e2b	Primary Tumor	529	52
TCGA-BRCA	23dabeef-8e3c-44bc-9a12-a9522d17be5c	Blood Derived Normal	240	22
TCGA-BRCA	23dabeef-8e3c-44bc-9a12-a9522d17be5c	Primary Tumor	373	35
TCGA-BRCA	24334ac1-28a3-4b61-b590-3f51e375b247	Blood Derived Normal	408	28
TCGA-BRCA	24334ac1-28a3-4b61-b590-3f51e375b247	Primary Tumor	353	23
TCGA-BRCA	24334ac1-28a3-4b61-b590-3f51e375b247	Solid Tissue Normal	314	21
TCGA-BRCA	2779fa01-ac93-4e80-a997-3385f72172c3	Blood Derived Normal	143	12
TCGA-BRCA	2779fa01-ac93-4e80-a997-3385f72172c3	Primary Tumor	159	22
TCGA-BRCA	27b05b15-a44b-45ed-a6e3-e7d1ca488ea9	Blood Derived Normal	636	57
TCGA-BRCA	27b05b15-a44b-45ed-a6e3-e7d1ca488ea9	Primary Tumor	474	26
TCGA-BRCA	27dfb9d4-3a2c-44bc-9acf-8f638d3f3004	Blood Derived Normal	300	33
TCGA-BRCA	27dfb9d4-3a2c-44bc-9acf-8f638d3f3004	Primary Tumor	262	26
TCGA-BRCA	281f70c5-876f-44b3-84fb-f2302f85e74c	Blood Derived Normal	76	4
TCGA-BRCA	281f70c5-876f-44b3-84fb-f2302f85e74c	Primary Tumor	111	19
TCGA-BRCA	29df128d-ace2-40cf-88ee-3f6f2170f159	Blood Derived Normal	401	14
TCGA-BRCA	29df128d-ace2-40cf-88ee-3f6f2170f159	Primary Tumor	1133	128
TCGA-BRCA	29fdc464-f216-4828-b456-829f71436e27	Blood Derived Normal	109	12
TCGA-BRCA	29fdc464-f216-4828-b456-829f71436e27	Primary Tumor	231	32
TCGA-BRCA	2c04a2f5-321e-4dea-8e00-268325da65cb	Blood Derived Normal	534	34
TCGA-BRCA	2c04a2f5-321e-4dea-8e00-268325da65cb	Primary Tumor	458	43
TCGA-BRCA	2c86c3ea-d926-4d39-a5ae-39ece4774287	Blood Derived Normal	131	15
TCGA-BRCA	2c86c3ea-d926-4d39-a5ae-39ece4774287	Primary Tumor	282	33
TCGA-BRCA	2cb8c866-9296-4c70-a3ea-f9a9b707895c	Blood Derived Normal	382	27
