id	filename	md5	size	state
6fe1e3c5-eae7-4777-8e6d-ecd63b24f740	a8bb9607-a942-4e01-a4e3-faeeff223d0d_wxs_gdc_realn.bam	6da03650571df888312be3ca42a05265	19227692927	released
db339324-5d7c-4a66-a192-37f755710196	ee8e93e0-d08c-400e-8ed7-ae56d7aefbec_wxs_gdc_realn.bam	604899afda2bd396de734e0d670da126	22433443063	released
db6acb38-fe07-461f-a10e-0d39b8d910b0	12983a0c-2f74-4c87-af64-048fbfea9ddd_wxs_gdc_realn.bam	e71dc424b584432638e929e5f27a3cf0	20084916782	released
f77a4036-a8f8-4f09-9dfe-ccb54717dac6	d9374702-8fc6-48c0-bec5-5c1105e641dc_wxs_gdc_realn.bam	b3382fdfbfd3f63e3955a58edcf5b304	33118575281	released
1529a3df-0bd0-4a7f-a15c-60c19d8669c9	8623830e-3fdd-4707-83e9-5f528105aa55_wxs_gdc_realn.bam	21812ee4f8aba592e77235a32524af34	28482754995	released
5fc8747d-bf43-4860-b2c4-bcef17bf1766	e5a4fdab-9e5e-4c17-b01f-8a3e55b08c53_wxs_gdc_realn.bam	4a0ddac5aa09299f2443787a05249dda	13603575029	released
dbb7ab79-e676-40c4-a93d-a353facc0919	f587a6a2-4476-4aa2-9a3d-eb131df46c0d_wxs_gdc_realn.bam	310898acb463ca0ee98433865f28a905	30625740909	released
1490a189-4c51-460f-b1a9-a8bfe0dcf3a8	f4a0943c-0124-4474-b7cf-2d87164056db_wxs_gdc_realn.bam	bd7f17b38be79a66274bd481b4939444	25246513309	released
0493e2d6-3684-4dc6-8936-32ceac6febd6	21ab25e4-107c-4257-8d60-cb912587fbf6_wxs_gdc_realn.bam	ae8fec62a7ce82f6f4cd834161a28ecc	13317270826	released
4e2e5668-3740-4159-8cc5-1f5c66e4a605	2627cdc1-dc02-4816-8628-cab8c8e79139_wxs_gdc_realn.bam	36ddf631c895607c2ee1267bb6bf48af	23441275197	released
c1a72aa5-51d0-4042-aa49-e464720abeb8	0c0a48d4-aaac-4626-abbe-9370e5058f83_wxs_gdc_realn.bam	b99c86a0548a69728f99174ac3ab90cf	30928585775	released
cb993c73-6528-44ae-b74d-557177ad095f	5465e36a-97f7-4408-81c1-9f8e836c1279_wxs_gdc_realn.bam	66a24e408c6090eb3105029ad7e2f885	21439370514	released
42777102-648d-40a7-be51-3caf9fdee11d	64613d52-ad24-4f06-8668-3e058043911b_wxs_gdc_realn.bam	c7aea164ccaf2dbf1c3069c1ea0c07d9	41077483152	released
